,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
integration,6.250152310653287e-06,4.054475595887086e-06,0.0,0.0,1.2166474195261679e-05,1.16909678225569e-05,3.0472782759998463e-06,1.4171665398134875e-05,2.1226241927909204e-05,8.988970617093918e-06,2.3767689489214364e-05,1.4733361554419719e-05,0.0,0.0,1.6947411614079618e-05,1.1068371895632541e-05,1.2357383891214463e-05,1.3535129201895197e-05,1.1575215664431468e-05,1.3265301154830473e-05
memberstaates,1.1241471935130916e-05,1.458420435168983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063074313320706e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.7631037700221636e-06,0.0,1.561515240633285e-05,8.947863499015525e-06
technologies,1.7110355926534906e-05,0.0,0.0,0.0,1.4989214935451763e-05,0.0,1.251298917354062e-05,0.0,0.0,1.3842647744911581e-05,0.0,0.0,0.0,0.0,5.800310446569747e-06,0.0,7.249901414542028e-06,3.705470638011779e-05,0.0,1.3619382165115754e-05
localization,5.581993082924964e-06,1.810372505275449e-05,0.0,0.0,1.6299135809718835e-05,7.83130543418486e-06,5.713658660324267e-05,0.0,2.4731387424493406e-06,1.8062641738041587e-05,0.0,0.0,0.0,0.0,3.784432255181865e-06,1.1862506059940288e-05,7.095259800060871e-06,0.0,0.0,2.221371754173316e-05
allowed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worry,1.20660392045744e-05,1.0436156567925096e-05,0.0,0.0,4.698065678129263e-06,0.0,1.1765232694730123e-05,0.0,7.128035696884698e-06,6.507952066476473e-06,6.556441145200377e-06,3.160829272252967e-06,0.0,1.9642378156291673e-05,0.0,4.27399052452503e-06,1.0224929353795762e-05,0.0,5.5871202942945595e-06,6.402986476209291e-06
films,1.5027292193774247e-05,9.748039239071606e-06,0.0,8.739277904006372e-05,8.776293158743045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unwanted,9.538902812159767e-06,3.0935202633890374e-05,0.0,0.0,2.7855410839600677e-06,0.0,0.0,0.0,1.2678439500984715e-05,2.572461526467459e-06,0.0,1.1243968010215165e-05,9.363235700516419e-05,0.0,9.700570992262382e-06,5.068130127964178e-06,4.041768931516385e-06,1.0329422446283098e-05,0.0,3.796429567872658e-06
handle,6.069294364761837e-06,2.9529378269622522e-06,5.610500809861383e-06,0.0,9.746995384131622e-06,2.1289003091564934e-06,4.438599933775911e-06,3.4408678364767675e-06,5.378068060220738e-06,2.455216684682995e-06,0.0,7.1541087353882e-06,0.0,3.70540599896437e-06,1.0287785434686057e-06,8.061267919988103e-06,2.5717197900116275e-06,6.572249401053855e-06,6.323024966024629e-06,2.415616935651482e-06
right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sums,1.6745150328835995e-05,3.620977545583505e-06,2.063861106684456e-05,0.0,3.2600156484693504e-06,7.83130543418486e-06,8.164142294330758e-06,0.0,7.419253503578975e-06,0.0,0.0,4.386572961539464e-06,0.0,0.0,1.1352915746230855e-05,5.9314090252632025e-06,2.365136207334925e-06,0.0,0.0,0.0
approved,2.5886969181924876e-05,1.6792738325586316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981225573706492e-06,2.1099159342370515e-05,0.0,0.0,0.0,0.0,0.0,1.0968677407767435e-05,0.0,0.0,0.0
corporate,8.555389714596386e-06,5.549787251623869e-06,0.0,0.0,0.0,1.200285793410192e-05,0.0,0.0,0.0,0.0,1.3945785756592373e-05,6.723197366954857e-06,4.2003439238176095e-05,0.0,5.800310446569747e-06,0.0,3.624988723785692e-06,0.0,0.0,0.0
effective,8.333330170888305e-06,1.0811067074747058e-05,0.0,0.0,2.919363161484653e-05,2.3378689055831245e-05,2.7417564938718302e-05,4.724418693914543e-06,1.015301654750361e-05,2.8084161062999757e-05,3.3962060854071164e-06,2.1279867072448347e-05,1.0229064065557433e-05,0.0,1.2711198439383516e-05,1.1068371895632541e-05,2.0299500870245893e-05,0.0,1.1575215664431468e-05,1.3265301154830473e-05
legalize,4.789245465065821e-07,4.037972187006801e-06,3.5411842634579054e-06,5.569669295888838e-06,8.390854426190905e-07,3.359090099977537e-06,1.400885507770016e-06,2.1718521361288006e-06,6.7877941259806204e-06,4.906661184797711e-06,7.803916935012988e-06,6.772236233431587e-06,0.0,9.351876320043434e-06,5.5183708139996025e-06,5.0878335644110355e-06,2.4348101803613917e-06,4.148146831587181e-06,1.995636951365552e-06,2.6681483571711344e-06
viewpoints,1.4910934288747067e-05,4.8363992766016216e-06,0.0,0.0,4.354276469678133e-06,1.0459970949815587e-05,0.0,0.0,9.909609166563085e-06,8.04228609473525e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.317975152374459e-06,0.0,2.0712080299490782e-05,1.1868701819489323e-05
temples,7.455651676487584e-06,4.8363992766016216e-06,0.0,0.0,4.354276469678133e-06,0.0,0.0,0.0,1.3212667332554735e-05,0.0,0.0,1.7576242409281015e-05,0.0,0.0,0.0,7.922352999399381e-06,1.2635685277929126e-05,0.0,4.142131259896484e-05,2.3736468395936073e-05
clones,6.471902479177861e-06,0.0,0.0,0.0,3.779743730250521e-06,0.0,0.0,0.0,0.0,3.490612786853246e-06,1.0549579671185257e-05,1.0171607101088803e-05,0.0,0.0,4.38776546848713e-06,6.877024067450799e-06,5.4843387038837176e-06,1.401615289512895e-05,0.0,5.151433931142866e-06
planets,3.72745681052272e-05,0.0,0.0,0.0,1.3062451763251541e-05,0.0,0.0,0.0,3.303275503463515e-06,1.6084142763685656e-05,0.0,0.0,0.0,0.0,5.054719393008543e-06,1.58442892850727e-05,6.317975152374459e-06,8.07159522296532e-05,0.0,1.780270200389761e-05
musical,1.5027292193774247e-05,0.0,5.5561236706624766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188075915056877e-05,0.0,0.0,0.0,0.0,1.1961259173676672e-05
imposed,1.1163709850102116e-05,7.241838816203807e-06,0.0,0.0,0.0,0.0,0.0,1.2657467740605041e-05,2.4731387424493406e-06,1.5052402372986775e-05,1.819721641145354e-05,4.386572961539464e-06,0.0,0.0,0.0,1.1862506059940288e-05,7.095259800060871e-06,0.0,7.753759758859728e-06,1.3328755654790325e-05
receive,2.873191715347298e-06,2.4851054078982128e-06,1.7707541551690467e-06,2.7852354589240394e-06,2.5170380339354064e-06,1.3437760004584544e-06,5.602325339183031e-06,6.51409426456797e-06,2.1216972978048793e-06,1.8080068157820201e-06,2.341836127080586e-06,1.8816523057966104e-06,2.3513222377864865e-06,2.3388167162739254e-06,1.6233770152615195e-06,2.544251244052944e-06,2.029051035071196e-06,0.0,2.660757799982456e-06,2.2870293553775003e-06
fits,1.1241471935130916e-05,7.2922192578366146e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.980608064523277e-06,0.0,0.0,8.834037610937125e-06,5.5190996450967534e-05,2.7450390336224548e-05,0.0,0.0,0.0,0.0,0.0,0.0
interpretations,1.5027292193774247e-05,0.0,0.0,0.0,8.776293158743045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0873908613956618e-05,1.1961259173676672e-05
reconstruction,9.802169872133189e-06,6.358559832967556e-06,0.0,0.0,5.724698454008917e-06,1.3752038930549075e-05,0.0,0.0,8.685736390474473e-06,5.286788483704445e-06,0.0,0.0,0.0,0.0,6.645591867239403e-06,0.0,0.0,0.0,0.0,0.0
stepping,1.5027292193774247e-05,9.748039239071606e-06,0.0,0.0,8.776293158743045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3671868341107225e-06,0.0,0.0,0.0
legalized,2.9511015062367645e-06,6.38055091570572e-06,3.6372701952466453e-06,1.715834815728711e-05,1.7235483891395398e-06,5.520062717784717e-06,4.316139526016659e-06,0.0,8.715315209419957e-06,6.366072503649299e-06,6.413498734461854e-06,7.729376081978834e-06,0.0,9.607070845193987e-06,4.001387822681293e-06,3.1358218495368733e-06,4.167832577410644e-06,1.2779566778846179e-05,4.0991973857838255e-06,2.34900912304009e-06
nuisance,4.022212166244411e-06,1.82623944106891e-05,0.0,0.0,2.3490667954302885e-06,0.0,5.882829300462097e-06,9.12058112286846e-06,1.7820675502302228e-06,2.1693752747511986e-06,6.556441145200377e-06,1.5802916873280284e-05,0.00017755410043267424,0.0,8.180561164885865e-06,4.27399052452503e-06,5.11262552040202e-06,0.0,0.0,0.0
surrounded,1.7713374414308776e-05,0.0,0.0,0.0,1.034502854446111e-05,0.0,0.0,4.016602347864033e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,1.967449697784629e-06,5.104604614823852e-06,0.0,0.0,4.595796888256705e-06,1.2417985539046437e-05,5.754644406028653e-06,8.92131357575524e-06,3.922364855239736e-06,1.0078673221543021e-05,4.810318090920352e-06,1.0820284927695298e-05,4.829803318521633e-06,2.402203164757089e-06,1.1335173564036364e-05,3.1358218495368733e-06,9.584708438533331e-06,4.260768810542498e-06,4.0991973857838255e-06,7.046194534818464e-06
noncombative,2.1499194672952107e-05,0.0,0.0,0.0,1.2556036888993565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choice,1.6748268582051086e-05,1.676208672235909e-05,1.0619666598442246e-05,2.7852354589240394e-06,1.957752838974039e-06,7.388459295980093e-06,2.101252200062386e-06,1.0859870135156972e-06,2.97024594869383e-06,1.8080068157820201e-06,5.463402758906114e-06,2.257938854131066e-06,0.0,1.1694790343353646e-06,2.5972724877641736e-06,3.5617644233401648e-06,3.2462774206418354e-06,2.0742957411694814e-06,5.985676312192641e-06,3.049252345706948e-06
keeping,3.33026739295533e-06,6.480715428910965e-06,0.0,0.0,1.1668884963101801e-05,1.4015708885970232e-05,1.4611344808460846e-05,0.0,1.3278306926604021e-05,2.6937601215946002e-05,5.428530683422115e-06,1.0467665086319265e-05,0.0,0.0,1.1288374295770792e-05,1.061563789245117e-05,1.5520049796419745e-05,2.8844706823219587e-05,0.0,1.3252904134160894e-05
clearer,1.2943804958355722e-05,0.0,0.0,0.0,7.559487460501042e-06,1.8159623024162517e-05,0.0,5.869824516930053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0302867862285733e-05
violated,8.555389714596386e-06,1.1099396291342157e-05,0.0,0.0,0.0,1.200285793410192e-05,0.0,0.0,0.0,9.228555024066525e-06,1.3945785756592373e-05,2.0168807510661075e-05,0.0,0.0,5.800310446569747e-06,0.0,3.624988723785692e-06,0.0,0.0,0.0
abolishing,2.083487235418526e-06,2.7030271285489993e-06,7.703392332404327e-06,0.0,4.867011730263334e-06,1.4613202428177802e-05,9.141173007646013e-06,1.4171665398134875e-05,2.7692474249611615e-06,1.011245696689849e-05,0.0,6.548797444348303e-06,0.0,5.08763782917489e-06,2.825042549759168e-06,6.641372428992794e-06,7.061806495823723e-06,4.512193399178851e-06,0.0,1.658391311390939e-06
nontrustworthy,1.1241471935130916e-05,7.2922192578366146e-06,0.0,0.0,6.565284814210589e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6213976540327105e-06,1.1945154195414978e-05,0.0,0.0,0.0,8.947863499015525e-06
stunting,9.802169872133189e-06,6.358559832967556e-06,0.0,0.0,5.724698454008917e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.702971445279055e-06,0.0,0.0,6.645591867239403e-06,1.0415756161465565e-05,0.0,0.0,1.3615866084919547e-05,0.0
become,4.30946765015082e-06,5.901083368733977e-06,7.0810728136547465e-06,0.0,5.312979126094971e-06,5.373984473551728e-06,4.902212063214033e-06,5.42871643207869e-06,5.939580259646294e-06,6.971879529656545e-06,7.803916935012988e-06,9.780597994292977e-06,4.70207314225938e-06,3.508013079985764e-06,5.5183708139996025e-06,9.156174793308716e-06,5.680270841806647e-06,5.184905692327777e-06,4.655846028344518e-06,4.5735181909511626e-06
fascism,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,1.8159623024162517e-05,0.0,0.0,0.0,0.0,2.1099159342370515e-05,0.0,0.0,0.0,0.0,1.3754048134901598e-05,0.0,0.0,0.0,0.0
observance,1.7713374414308776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4605055521730235e-05,1.409929743015839e-05
qualities,1.20660392045744e-05,7.827243091432807e-06,1.487154700735494e-05,0.0,7.046996652059675e-06,0.0,0.0,0.0,3.564096015299452e-06,2.1693752747511986e-06,6.556441145200377e-06,3.160829272252967e-06,1.9747404848157767e-05,0.0,5.453798958128437e-06,4.27399052452503e-06,0.0,8.710876111021228e-06,5.5871202942945595e-06,0.0
central,6.250152310653287e-06,4.054475595887086e-06,0.0,0.0,2.433576218004361e-06,2.9230464220206607e-06,3.0472782759998463e-06,0.0,2.7692474249611615e-06,3.3710889676612398e-06,3.3962060854071164e-06,1.637294893925323e-06,1.0229064065557433e-05,0.0,4.237492718220902e-06,2.213907256528975e-06,2.6483162923696777e-06,4.512193399178851e-06,5.788005770044565e-06,1.658391311390939e-06
everybody,6.069294364761837e-06,4.921405018051734e-06,0.0,8.824808205211388e-06,3.5447205693241147e-06,2.1289003091564934e-06,0.0,3.4408678364767675e-06,2.689151977955884e-06,8.184274124181818e-07,2.4735098733684325e-06,3.5772630802179724e-06,7.449986934005961e-06,0.0,2.0575225601121263e-06,3.2247615714411585e-06,5.786066142068872e-06,3.2863008435717027e-06,8.43041014364946e-06,3.623354020938914e-06
north,4.022212166244411e-06,2.609164812850697e-06,0.0,0.0,0.0,5.6429973178054795e-06,5.882829300462097e-06,9.12058112286846e-06,1.7820675502302228e-06,8.677153589635806e-06,1.311235326783632e-05,3.160829272252967e-06,0.0,0.0,0.0,4.27399052452503e-06,1.7042442523025927e-06,0.0,5.5871202942945595e-06,3.2015563117816378e-06
learned,1.20660392045744e-05,2.609164812850697e-06,0.0,0.0,9.39585972111177e-06,0.0,0.0,0.0,3.564096015299452e-06,4.338692629200412e-06,0.0,6.321535586156516e-06,1.9747404848157767e-05,0.0,2.7269452385534044e-06,4.27399052452503e-06,3.408452758603435e-06,8.710876111021228e-06,5.5871202942945595e-06,9.604290503259533e-06
advantage,5.372031476587298e-06,1.0453752827813294e-05,0.0,0.0,2.039002323504931e-05,2.260684869239006e-05,3.142103823451194e-05,6.090835038658463e-06,1.0709837963701897e-05,1.5933960169887546e-05,0.0,2.7434520177014464e-05,2.6371910062250814e-05,0.0,1.4566986599779445e-05,5.70829561148294e-06,2.389540426333605e-05,0.0,3.7311469077736174e-06,1.4964498930411987e-05
citizen,1.5174362562945147e-06,3.937187223846057e-06,0.0,0.0,1.7724115237567565e-06,6.386257411710996e-06,4.438599933775911e-06,0.0,4.033639503460478e-06,2.455216684682995e-06,4.946820165514769e-06,5.9618732248811725e-06,7.449986934005961e-06,3.70540599896437e-06,5.143547472272123e-06,6.449183926397523e-06,2.5717197900116275e-06,3.2863008435717027e-06,2.107819914123911e-06,4.8310435228582105e-06
image,1.1163709850102116e-05,7.241838816203807e-06,2.063861106684456e-05,0.0,0.0,1.566206700883012e-05,0.0,3.796814152788667e-05,7.419253503578975e-06,0.0,0.0,0.0,0.0,1.3630589469475132e-05,3.784432255181865e-06,0.0,4.730222806661555e-06,1.2088882482630865e-05,0.0,4.443093613245742e-06
spiritual,9.802169872133189e-06,0.0,0.0,0.0,5.724698454008917e-06,0.0,0.0,0.0,8.685736390474473e-06,0.0,3.1954931476119015e-05,0.0,0.0,0.0,1.9936106518831116e-05,0.0,8.306432271614204e-06,0.0,1.3615866084919547e-05,0.0
wrong,4.30946765015082e-06,5.280086173594248e-06,3.5411842634579054e-06,2.7852354589240394e-06,2.2373994780010266e-06,4.0307681854173735e-06,0.0,3.2575953951939514e-06,3.6066085984137286e-06,4.906661184797711e-06,1.0923721960356605e-05,6.772236233431587e-06,2.3513222377864865e-06,1.1688433582880314e-05,4.869314069616735e-06,1.068136179030742e-05,6.2886735272739625e-06,5.184905692327777e-06,4.655846028344518e-06,4.192474243611692e-06
strata,1.1241471935130916e-05,7.2922192578366146e-06,0.0,0.0,0.0,1.5771320197999383e-05,0.0,0.0,0.0,6.063074313320706e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.7631037700221636e-06,0.0,1.561515240633285e-05,0.0
takeovers,1.9603854524407064e-05,0.0,3.624210359932792e-05,0.0,1.1449231404036119e-05,0.0,0.0,0.0,4.342915820694535e-06,5.286788483704445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7230795953240914e-05,7.802223633713924e-06
conform,2.9405054004769322e-05,1.9075066963546934e-05,3.624210359932792e-05,0.0,0.0,0.0,0.0,0.0,8.685736390474473e-06,5.286788483704445e-06,3.1954931476119015e-05,0.0,0.0,2.3935779111910645e-05,0.0,0.0,0.0,0.0,0.0,0.0
inhibit,1.5027292193774247e-05,0.0,0.0,0.0,0.0,0.0,2.1978700071081396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0873908613956618e-05,1.1961259173676672e-05
pray,7.151876199395939e-05,5.876839514250981e-05,0.0,2.7737926713971243e-05,8.35638166229565e-06,0.0,0.0,0.0,1.2678439500984715e-05,0.0,0.00012431961437834658,1.1243968010215165e-05,0.0,0.0,6.467155847197879e-06,1.0135993673589756e-05,1.6166058516583994e-05,0.0,3.9744663791728355e-05,1.5184820799834778e-05
original,2.2365847873248062e-05,9.672643249244343e-06,0.0,4.335911694276519e-05,8.70842705498017e-06,0.0,1.0904528235623492e-05,1.6906088771231472e-05,6.60647855790295e-06,0.0,0.0,0.0,0.0,0.0,5.054719393008543e-06,0.0,6.317975152374459e-06,0.0,0.0,0.0
fullest,2.248238740312221e-05,0.0,4.156371454449081e-05,0.0,1.3130379822654714e-05,0.0,0.0,2.5490638605606673e-05,0.0,0.0,0.0,0.0,0.0,2.7450390336224548e-05,0.0,0.0,0.0,0.0,0.0,1.789537443534144e-05
eventual,6.471902479177861e-06,8.396369162793158e-06,0.0,0.0,3.779743730250521e-06,1.81589924598013e-05,0.0,0.0,2.8674189524831167e-06,6.981132377591886e-06,1.0549579671185257e-05,5.085902473029534e-06,0.0,0.0,0.0,0.0,5.4843387038837176e-06,0.0,0.0,5.151433931142866e-06
athletes,4.789245465065821e-07,9.319893364703842e-07,1.2388478249727896e-05,1.113613394873781e-05,2.2373994780010266e-06,6.719113312939112e-07,7.004681101967115e-07,6.51409426456797e-06,1.0609068120154618e-06,2.583073758222223e-07,3.122322215176991e-06,3.763597401705278e-07,2.3513222377864865e-06,0.0,9.74058896977701e-07,5.089037795942058e-07,1.4203804066801599e-06,1.0372034638444175e-06,1.3304703726870866e-06,3.812091061737729e-07
postuniversity,1.2943804958355722e-05,0.0,0.0,0.0,7.559487460501042e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.160729311901141e-05,8.77553093697426e-06,1.3754048134901598e-05,0.0,0.0,0.0,0.0
discretion,1.94147463670113e-05,8.396369162793158e-06,0.0,0.0,3.779743730250521e-06,3.631546301246988e-05,0.0,0.0,0.0,1.0471558777250341e-05,0.0,5.085902473029534e-06,0.0,0.0,1.3162854642132226e-05,6.877024067450799e-06,1.3710415408117419e-05,0.0,0.0,1.0302664886077804e-05
tv,1.4910934288747067e-05,1.450873192783505e-05,0.0,8.670575464605953e-05,4.354276469678133e-06,0.0,0.0,0.0,3.303275503463515e-06,0.0,0.0,0.0,0.0,1.8205849724262794e-05,5.054719393008543e-06,7.922352999399381e-06,0.0,0.0,0.0,5.934467824354377e-06
household,8.555389714596386e-06,0.0,0.0,0.0,4.996549428492523e-06,1.200285793410192e-05,1.251298917354062e-05,0.0,7.580960210658869e-06,0.0,0.0,6.723197366954857e-06,0.0,0.0,0.0,0.0,0.0,1.85283462943078e-05,0.0,6.8098252425338055e-06
collectivist,4.022212166244411e-06,0.0,0.0,0.0,2.3490667954302885e-06,5.6429973178054795e-06,5.882829300462097e-06,9.12058112286846e-06,3.564096015299452e-06,4.338692629200412e-06,0.0,0.0,1.9747404848157767e-05,1.9642378156291673e-05,5.453798958128437e-06,4.27399052452503e-06,0.0,0.0,5.5871202942945595e-06,3.2015563117816378e-06
fostering,7.455651676487584e-06,4.8363992766016216e-06,0.0,0.0,0.0,1.0459970949815587e-05,0.0,0.0,6.60647855790295e-06,0.0,2.4305316224857947e-05,5.8589753818898535e-06,0.0,0.0,5.054719393008543e-06,0.0,3.159020705933605e-06,0.0,0.0,5.934467824354377e-06
wanting,5.581993082924964e-06,7.241838816203807e-06,0.0,0.0,0.0,2.3492284799494234e-05,0.0,0.0,2.4731387424493406e-06,9.031682546223858e-06,9.098975292316603e-06,8.77297528248923e-06,0.0,0.0,3.784432255181865e-06,1.1862506059940288e-05,2.365136207334925e-06,1.2088882482630865e-05,0.0,0.0
profitable,4.769569455953055e-06,0.0,0.0,0.0,1.392690015225349e-05,0.0,4.184784535552049e-05,0.0,4.226331876602278e-06,2.572461526467459e-06,7.774677250578772e-06,0.0,0.0,1.164674377671884e-05,9.700570992262382e-06,1.0135993673589756e-05,2.0209056596971334e-06,0.0,6.625249290935463e-06,7.5927095492636364e-06
genes,3.0053840517497347e-05,0.0,0.0,0.0,1.7552332590329254e-05,0.0,0.0,0.0,1.997338380783932e-05,8.104951898167625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stem,1.5313838258458764e-05,9.319893364703842e-07,3.5411842634579054e-06,0.0,1.0343637761389946e-05,2.0155940139764037e-06,1.400885507770016e-06,1.0859870135156972e-06,1.0391873628931158e-05,2.066265923384892e-06,1.0923721960356605e-05,6.396125229409742e-06,4.70207314225938e-06,7.014754603218015e-06,8.438587417519911e-06,3.0530212107629686e-06,2.840552308408448e-06,8.294515822412076e-06,3.3258329248273775e-06,9.144875324242296e-06
money,1.0530867231214933e-05,1.1798569496956374e-05,1.9460492672645647e-05,1.113613394873781e-05,1.5092414621886462e-05,9.402514741946091e-06,7.81388623295838e-05,8.684484694255254e-06,2.3736473025099573e-05,1.497043912682748e-05,7.023808455797255e-06,1.4667191547305358e-05,0.0,2.686231603198032e-05,1.5249000225613206e-05,2.388958678843193e-05,1.541012550541819e-05,1.2439108495739837e-05,3.3258329248273775e-06,1.8281114580159275e-05
living,3.934704627495111e-06,5.104604614823852e-06,1.0909813974946988e-05,0.0,8.041947188444468e-06,4.140190783318556e-06,7.193045163501311e-06,2.2307038981978098e-06,1.0893546915325227e-05,5.305202032747033e-06,3.2070081012458657e-06,4.63798640418057e-06,0.0,7.205738517185351e-06,9.335318579414071e-06,5.226094877258395e-06,6.668112607916192e-06,1.2779566778846179e-05,8.19754937285946e-06,5.480589424401714e-06
reverse,1.7713374414308776e-05,0.0,0.0,0.0,1.034502854446111e-05,0.0,0.0,0.0,7.848027017006394e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hindu,7.455651676487584e-06,9.672643249244343e-06,0.0,0.0,4.354276469678133e-06,0.0,0.0,0.0,3.303275503463515e-06,0.0,1.215314841575043e-05,0.0,0.0,0.0,0.0,7.922352999399381e-06,6.317975152374459e-06,0.0,1.0356396198709081e-05,5.934467824354377e-06
deal,2.083487235418526e-06,4.054475595887086e-06,0.0,1.21167364851773e-05,7.300306553046771e-06,2.9230464220206607e-06,9.141173007646013e-06,0.0,7.384254928799597e-06,1.1235913327068094e-05,0.0,6.548797444348303e-06,1.0229064065557433e-05,1.0174660726589475e-05,1.553538793150246e-05,1.1068371895632541e-05,8.827072995987027e-06,0.0,5.788005770044565e-06,6.633173203733484e-06
careers,3.33026739295533e-06,6.480715428910965e-06,1.23131814122177e-05,0.0,9.72421135499047e-06,0.0,0.0,7.55155935661477e-06,1.475496868211419e-06,1.7961756968511993e-06,0.0,2.6170689722495215e-06,1.6350241047257483e-05,0.0,2.257826398752273e-06,3.5387320940147666e-06,5.644068754102175e-06,0.0,4.625962969522161e-06,5.301474959030794e-06
including,6.069294364761837e-06,9.842020020044521e-06,0.0,1.7647076531784967e-05,7.97504491892515e-06,6.386257411710996e-06,6.657658905251912e-06,6.881349470834103e-06,8.06674828816344e-06,3.2735785468631018e-06,4.946820165514769e-06,1.0730537062916626e-05,0.0,0.0,8.229261726419868e-06,6.449183926397523e-06,7.714512174883032e-06,3.2863008435717027e-06,1.2644745901861133e-05,9.661325771915152e-06
supposed,6.660369933444627e-06,2.16030784551982e-06,0.0,0.0,0.0,4.672227418467818e-06,4.870800889636775e-06,7.55155935661477e-06,4.426393522166747e-06,3.592303437482011e-06,5.428530683422115e-06,1.0467665086319265e-05,1.6350241047257483e-05,0.0,9.030850966049767e-06,0.0,8.465925569016508e-06,0.0,9.251607861348226e-06,2.650789702571059e-06
persons,2.394385682249942e-06,2.7956987045435594e-06,1.7707541551690467e-06,0.0,1.957752838974039e-06,2.0155940139764037e-06,1.400885507770016e-06,3.2575953951939514e-06,1.4852369640493412e-06,2.582763456994444e-06,3.122322215176991e-06,4.515350850004074e-06,7.052252990996471e-06,3.508013079985764e-06,2.2726515566125656e-06,1.5266310369776548e-06,2.840552308408448e-06,2.0742957411694814e-06,3.3258329248273775e-06,1.9058953391474263e-06
intellection,2.1499194672952107e-05,0.0,0.0,0.0,1.2556036888993565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enjoy,1.20660392045744e-05,1.3044986276367208e-05,4.460647756714703e-05,7.015458503003897e-05,4.698065678129263e-06,0.0,0.0,0.0,7.128035696884698e-06,0.0,6.556441145200377e-06,6.321535586156516e-06,0.0,9.82178264693898e-06,5.453798958128437e-06,0.0,1.7042442523025927e-06,0.0,5.5871202942945595e-06,6.402986476209291e-06
strike,4.022212166244411e-06,2.609164812850697e-06,0.0,0.0,2.3490667954302885e-06,5.6429973178054795e-06,0.0,9.12058112286846e-06,1.7820675502302228e-06,4.338692629200412e-06,0.0,3.160829272252967e-06,0.0,0.0,8.180561164885865e-06,0.0,1.0224929353795762e-05,8.710876111021228e-06,1.1173856422446259e-05,1.6006520184911712e-05
wants,5.901764827689836e-06,1.0207898339901698e-05,1.0909813974946988e-05,5.721095665321981e-06,1.7235483891395398e-06,0.0,1.4388173380827188e-06,2.2307038981978098e-06,2.179187164979201e-06,1.061153717143364e-06,1.1222264796944902e-05,1.546115744673136e-06,9.658433072871743e-06,2.402203164757089e-06,2.0007946241716355e-06,4.180985846739234e-06,4.167832577410644e-06,0.0,5.46540863077761e-06,3.914860960288774e-06
second,6.250152310653287e-06,2.7030271285489993e-06,7.703392332404327e-06,0.0,4.867011730263334e-06,2.9230464220206607e-06,3.0472782759998463e-06,0.0,3.692289410464786e-06,4.49472528960415e-06,3.3962060854071164e-06,9.822814084708758e-06,1.0229064065557433e-05,0.0,2.825042549759168e-06,2.213907256528975e-06,5.296465952361986e-06,0.0,2.8941023831618445e-06,4.974977908108855e-06
